timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-03-03,333.68,340.1,333.25,334.43,321.447430436,3606299,0.0,1.0
2021-03-04,333.13,339.76,323.92,329.29,316.506965189,3647614,0.0,1.0
2021-03-05,335.58,335.58,316.465,327.37,314.661499572,3740398,0.0,1.0
2021-03-08,331.36,337.59,329.1,334.19,321.216747233,2997991,0.0,1.0
2021-03-09,328.62,336.39,325.57,330.59,317.756499201,3324825,0.0,1.0
2021-03-10,332.07,342.4,331.53,342.02,328.742786705,3153109,0.0,1.0
2021-03-11,338.66,345.0,336.46,342.1,328.819681105,2756559,0.0,1.0
2021-03-12,345.22,350.0,343.64,348.81,335.269198966,2436744,0.0,1.0
2021-03-15,349.44,352.42,342.0,346.05,332.616342141,2277831,0.0,1.0
2021-03-16,345.28,346.9,337.75,341.71,328.444820902,2332558,0.0,1.0
2021-03-17,344.62,347.03,340.4001,344.95,331.559044131,2710906,0.0,1.0
2021-03-18,350.75,356.85,346.99,348.0,334.490643159,3715240,0.0,1.0
2021-03-19,346.42,347.24,340.63,344.2,330.838159124,3512961,0.0,1.0
2021-03-22,341.06,342.88,336.0,339.33,326.15721248,2094548,0.0,1.0
2021-03-23,337.62,341.8885,331.33,331.77,318.890691612,2457544,0.0,1.0
2021-03-24,333.42,336.94,328.44,328.65,315.891809983,3332168,0.0,1.0
2021-03-25,327.35,331.39,321.92,330.55,317.718052,2804721,0.0,1.0
2021-03-26,334.51,335.45,322.69,327.39,314.680723172,3082556,0.0,1.0
2021-03-29,320.35,327.76,317.72,325.73,313.085164357,4533245,0.0,1.0
2021-03-30,329.41,335.75,328.85,332.01,319.121374814,2717270,0.0,1.0
2021-03-31,330.23,332.65,325.44,327.0,314.305862968,2624540,0.0,1.0
2021-04-01,324.3,329.66,324.16,327.64,314.921018174,2658951,0.0,1.0
2021-04-05,332.85,332.85,323.05,323.54,310.980180137,3234998,0.0,1.0
2021-04-06,324.49,328.54,324.0,327.06,314.363533769,1801975,0.0,1.0
2021-04-07,327.7,329.2,323.35,326.55,313.873331964,2157335,0.0,1.0
2021-04-08,324.29,331.49,322.9652,331.14,318.285148206,2402755,0.0,1.0
2021-04-09,334.0,334.9,328.79,330.81,317.967958803,2347149,0.0,1.0
2021-04-12,332.67,334.48,329.94,331.84,318.957974212,2318780,0.0,1.0
2021-04-13,329.51,330.05,324.18,327.68,314.959465374,3575907,0.0,1.0
2021-04-14,328.55,344.4694,326.15,335.35,322.331716044,9876753,0.0,1.0
2021-04-15,338.9,341.35,334.54,338.55,325.407492073,4354775,0.0,1.0
2021-04-16,340.29,343.74,338.62,342.31,329.021528907,4231858,0.0,1.0
2021-04-19,340.0,344.43,336.6,343.09,329.771249314,3228160,0.0,1.0
2021-04-20,339.97,340.47,329.35,331.88,318.996421413,3662274,0.0,1.0
2021-04-21,330.0,335.47,327.56,335.27,322.254821643,2733251,0.0,1.0
2021-04-22,334.62,336.97,330.29,330.85,318.006406003,2165200,0.0,1.0
2021-04-23,331.25,340.67,330.72,339.35,326.17643608,2165370,0.0,1.0
2021-04-26,341.94,345.9,340.89,343.52,330.184556718,2171458,0.0,1.0
2021-04-27,344.0,347.55,343.66,346.63,333.173826546,2088604,0.0,1.0
2021-04-28,348.0,350.12,346.09,348.11,334.59637296,2140875,0.0,1.0
